"","T.H.I","T.F.E","T.E","I.H.R.V","MCareExp","Tra.Exp","G.F.G.E","H.H.Age","Floor.Area","House.Age","PPN","CYP","GL","BYS","RTvsNT","Number.of.bedrooms","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle","Region","Main.Source.of.Income","Household.Head.Sex","Household.Head.Marital.Status","Household.Head.Job.or.Business.Indicator","Household.Head.Class.of.Worker","Type.of.Household","Type.of.Building.House","Type.of.Roof","Type.of.Walls","Tenure.Status","Toilet.Facilities","Electricity","Main.Source.of.Water.Supply","Young.Members"
"2821",88838,51923,8977,7800,153,5340,0,40,6,23,56761,6727,9056,21476,37.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Salvaged/makeshift materials","Salvaged","Own house, rent-free lot with consent of owner","Open pit","Si","Dug well","between 5 and 17 years old"
"2822",28485,14541,0,2400,1552,972,0,70,15,16,11941,1550,0,6290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR","Other sources of Income","Female","Widowed","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","No","Protected spring, river, stream, etc","No children"
"2823",66440,58826,80,6000,245,2700,47890,50,20,17,67272,7539,6094,22312,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Lake, river, rain and others","between 5 and 17 years old"
"2824",46971,20251,0,3000,281,2640,0,83,20,15,20694,3834,0,13353,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR","Other sources of Income","Female","Widowed","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Closed pit","No","Unprotected spring, river, stream, etc","No children"
"2825",52119,31570,0,7200,0,360,42798,61,27,15,35539,5709,7225,13022,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"IVA - CALABARZON","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Light material (cogon,nipa,anahaw)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","No children"
"2826",271160,127591,0,12000,53780,15204,0,41,60,10,52690,38985,34910,61020,0,2,1,0,0,0,1,1,0,0,1,1,1,0,1,"VI - Western Visayas","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"2827",100472,32300,0,4800,468,1200,20340,78,28,35,15660,10135,5052,34023,0,3,1,0,0,1,1,1,0,0,1,0,0,0,0,"IX - Zasmboanga Peninsula","Other sources of Income","Female","Widowed","With Job/Business","Employer in own family-operated farm or business","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2828",588400,104242,11380,0,505,99552,0,49,60,21,33453,26967,75764,195526,50,3,1,1,0,1,1,1,1,1,2,1,1,0,0,"NCR","Wage/Salaries","Female","Widowed","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2829",530580,189984,0,0,460,73956,0,48,30,12,58108,64742,67238,144753,80,3,4,1,1,1,1,1,0,0,5,2,0,0,0,"IVA - CALABARZON","Wage/Salaries","Female","Widowed","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2830",224997,84862,0,15000,7900,11706,71268,59,64,10,48263,21096,15354,72931,0,2,1,1,0,1,1,0,0,0,2,1,0,0,0,"XII - SOCCSKSARGEN","Other sources of Income","Female","Widowed","With Job/Business","Employer in own family-operated farm or business","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2831",1058470,162987,0,90000,152000,25584,0,63,150,55,57563,48878,81474,203809,75,3,2,1,0,1,1,2,0,1,4,2,1,0,0,"XI - Davao Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2832",347182,144146,780,18000,12822,12720,0,30,30,55,60048,44983,40980,106588,0,1,1,1,1,1,1,0,0,0,5,1,0,0,0,"NCR","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2833",337282,119059,0,21000,4733,14988,131290,66,14,35,62378,35535,29215,84470,0,2,1,0,0,1,1,0,1,0,1,0,1,0,1,"IVB - MIMAROPA","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","both"
"2834",113726,21099,0,39000,230,1758,0,61,80,23,16128,6966,1100,55597,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"I - Ilocos Region","Enterpreneurial Activities","Female","Widowed","With Job/Business","Employer in own family-operated farm or business","Single Family","Duplex","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2835",193268,47157,1242,9000,300,5472,3025,49,15,7,26692,4344,17730,36862,28.5714285714286,2,0,0,0,0,0,0,0,0,3,0,0,0,0,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Water-sealed, other depository, shared with other household","Si","Peddler","No children"
"2836",367068,155101,9231,66000,1028,46788,0,50,349,20,72078,38418,83700,247473,20,3,1,1,1,1,1,1,1,1,4,0,1,0,1,"VII - Central Visayas","Other sources of Income","Male","Married","No Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","between 5 and 17 years old"
"2837",178949,98056,0,12000,3255,4620,0,37,60,12,72062,18691,30472,32830,14.2857142857143,2,1,0,0,0,0,0,0,0,3,0,0,0,0,"VIII - Eastern Visayas","Other sources of Income","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"2838",205577,124478,1170,7800,704,15462,0,46,50,3,47186,21857,49464,84975,25,1,1,1,0,0,0,1,0,0,4,1,0,0,1,"II - Cagayan Valley","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2839",721659,153493,0,24000,15880,13848,63490,51,80,95,67527,48350,57824,97899,62.5,3,1,0,0,1,1,0,0,0,6,1,0,0,2,"I - Ilocos Region","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","Less than 5 years old"
"2840",230427,88979,9050,12000,8686,14106,12800,66,80,17,48042,14690,45378,65699,75,2,0,0,0,1,0,0,0,0,1,0,0,0,0,"III - Central Luzon","Wage/Salaries","Male","Widowed","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"2841",223282,111250,0,18000,220,11466,0,44,80,5,58451,30032,55527,62981,28.5714285714286,2,1,1,0,1,1,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","Less than 5 years old"
"2842",386800,237255,4680,0,1986,29508,0,68,40,47,73182,44850,145680,77276,66.6666666666667,2,2,1,0,1,1,0,0,0,6,0,0,0,0,"NCR","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2843",121000,68801,2392,11400,495,5580,106920,50,42,14,62578,18882,1740,26958,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Closed pit","Si","Protected spring, river, stream, etc","between 5 and 17 years old"
"2844",245887,68172,5430,9000,23333,2142,0,74,100,11,40949,22015,5700,40930,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"VI - Western Visayas","Wage/Salaries","Male","Widowed","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Mixed but predominantly strong materials","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","No children"
"2845",142756,89109,362,18000,10214,10632,0,40,60,4,60804,30936,16650,38512,16.6666666666667,2,2,0,0,1,1,1,0,0,1,0,0,0,0,"V - Bicol Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","both"
"2846",162260,67595,11403,24000,8612,360,0,66,41,35,56786,16699,3248,53899,42.8571428571429,2,1,0,0,0,0,0,0,0,1,0,0,0,0,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"2847",362259,141916,362,21000,2246,6948,0,37,66,69,54755,42256,35971,50122,20,3,1,0,0,0,1,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2848",550998,47841,0,270000,2720,45966,0,37,130,5,17922,15332,127100,362134,0,3,2,2,1,1,0,2,1,0,2,3,0,0,1,"VII - Central Visayas","Other sources of Income","Female","Widowed","No Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","No children"
"2849",331280,119136,10068,15000,341,12948,0,59,80,35,67948,23281,15780,39287,50,2,1,1,1,0,0,0,0,0,4,0,0,0,0,"VI - Western Visayas","Wage/Salaries","Female","Widowed","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","Less than 5 years old"
"2850",421378,70807,12670,10800,90,17664,0,54,56,15,44002,24336,22282,72320,0,3,1,1,0,1,1,0,0,0,2,1,0,0,1,"XII - SOCCSKSARGEN","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2851",111014,120573,3620,4800,205,4800,0,52,38,32,68231,24946,30511,19098,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"2852",87780,32526,3982,6000,0,8280,0,50,20,10,15743,8362,11178,18034,100,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"I - Ilocos Region","Wage/Salaries","Male","Single","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"2853",189902,71934,4040,7800,31980,4896,0,57,32,25,66969,17830,9864,28287,50,4,1,1,0,0,0,0,0,0,4,0,0,0,0,"CAR","Wage/Salaries","Male","Married","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Open pit","Si","Dug well","between 5 and 17 years old"
"2854",533140,187320,0,150000,3650,20106,0,54,216,4,68322,59028,71054,268366,0,3,1,0,0,1,1,0,0,0,4,1,0,0,0,"IVA - CALABARZON","Other sources of Income","Female","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2855",98586,59256,0,3300,1756,2412,20695,70,20,12,54508,16621,6119,19199,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,"Caraga","Other sources of Income","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Light material (cogon,nipa,anahaw)","Quite Strong","Own house, rent lot","Closed pit","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"2856",437132,75008,0,19200,6714,3480,128828,88,40,45,44742,18896,18638,139738,33.3333333333333,3,1,0,0,1,0,0,0,0,1,0,0,0,0,"IX - Zasmboanga Peninsula","Wage/Salaries","Male","Married","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2857",1467700,218768,2715,240000,4566,70242,0,43,120,16,76556,34038,122214,504538,0,4,2,2,1,1,1,2,1,1,8,3,1,0,0,"NCR","Other sources of Income","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2858",178576,41869,1040,4800,300,3804,28514,50,40,13,48833,6987,6444,21062,20,2,0,0,0,1,0,0,0,0,2,0,0,0,0,"Caraga","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Mixed but predominantly strong materials","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2859",133853,44253,0,18000,510,4680,0,39,42,15,28645,2896,21118,27430,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,"XI - Davao Region","Enterpreneurial Activities","Female","Divorced/Separated","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"2860",393500,142367,0,24000,25450,23766,0,44,52,5,53481,27608,48950,112576,16.6666666666667,3,2,1,0,1,1,0,0,0,5,1,0,0,1,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","both"
"2861",149410,88579,0,14400,3683,4548,0,46,40,12,60720,16742,23350,49469,20,1,1,1,1,1,1,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","No Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2862",75018,35128,2200,4500,0,1056,0,78,17,53,35104,9394,3410,16263,50,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"XII - SOCCSKSARGEN","Wage/Salaries","Female","Widowed","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Open pit","Si","Shared, tubed/piped deep well","No children"
"2863",324390,157050,18100,30000,3840,870,0,50,39,44,84908,75281,21238,99743,25,1,1,1,0,1,1,0,0,0,2,1,0,0,0,"IVA - CALABARZON","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2864",78306,47926,1080,4200,250,1920,8538,50,13,30,43106,10970,2783,14917,20,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"XI - Davao Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Closed pit","Si","Own use, tubed/piped deep well","between 5 and 17 years old"
"2865",455461,118235,0,24000,936,32406,0,39,20,10,42148,33930,35447,84464,60,0,1,0,0,1,1,0,0,0,3,0,0,0,0,"NCR","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, other depository, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2866",219559,74217,0,30000,2154,5406,0,79,200,12,36301,9687,25340,45530,66.6666666666667,1,1,0,0,0,0,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Widowed","No Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"2867",118698,91167,130,5400,2700,6558,0,58,30,9,51990,24896,15420,18725,33.3333333333333,1,0,0,0,0,0,0,0,0,2,0,0,0,0,"V - Bicol Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Mixed but predominantly light materials","Very Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"2868",85229,29099,10360,9000,9576,6132,0,55,30,15,15544,9050,2172,16719,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,"IX - Zasmboanga Peninsula","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","No children"
"2869",920887,125155,0,126000,33390,54246,0,50,60,24,71833,5860,61900,303595,66.6666666666667,3,0,2,1,1,2,0,0,0,3,2,1,0,0,"XI - Davao Region","Wage/Salaries","Female","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2870",29940,15129,650,1200,25,0,0,53,11,6,13931,2353,2094,4456,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IX - Zasmboanga Peninsula","Wage/Salaries","Male","Single","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","None","No","Shared, faucet, community water system","No children"
"2871",126618,71647,0,8400,890,7560,4937,44,20,25,41114,21489,7263,23640,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"V - Bicol Region","Other sources of Income","Male","Divorced/Separated","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, shared with other household","Si","Shared, tubed/piped deep well","both"
"2872",221365,118778,0,12000,205,4182,0,68,180,30,92939,24661,46498,57444,12.5,3,1,1,0,0,1,0,0,0,5,2,0,0,1,"III - Central Luzon","Other sources of Income","Male","Married","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","between 5 and 17 years old"
"2873",314733,124949,0,48000,1805,14064,0,46,50,35,45574,43866,35798,164698,25,2,2,0,0,1,1,1,0,1,4,1,0,0,1,"IVA - CALABARZON","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2874",155500,64384,0,24000,32868,27936,0,67,35,11,51932,10457,17608,68071,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,"I - Ilocos Region","Other sources of Income","Male","Married","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","No children"
"2875",307940,97271,16290,15000,1658,13974,0,63,40,4,68759,24380,16381,44800,50,0,1,0,0,0,0,0,0,0,2,0,1,0,1,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","Less than 5 years old"
"2876",154580,70659,10860,6000,36,7260,0,43,20,5,85025,10372,5444,17758,100,2,1,0,0,0,0,0,0,0,2,0,0,0,1,"XII - SOCCSKSARGEN","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own house, rent-free lot with consent of owner","Water-sealed, other depository, used exclusively by household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"2877",137208,18689,0,39000,1925,3198,0,79,22,20,12618,4492,3600,68708,0,3,1,1,0,1,1,0,0,0,1,0,1,0,0,"IVA - CALABARZON","Enterpreneurial Activities","Female","Widowed","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"2878",262167,71434,180,15000,592,23646,0,57,16,16,48156,21219,29190,86099,25,4,1,1,0,1,1,0,0,0,4,2,1,0,2,"XII - SOCCSKSARGEN","Wage/Salaries","Male","Divorced/Separated","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2879",1068020,253043,21720,60000,17950,92940,0,52,100,3,92643,82556,139334,257047,40,3,3,1,0,1,1,1,3,0,5,2,2,0,4,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked without pay in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","between 5 and 17 years old"
"2880",230152,70805,0,6000,1710,4200,65460,48,24,4,66870,9974,10614,28798,60,2,1,0,0,0,0,0,0,0,3,0,0,0,0,"IVB - MIMAROPA","Wage/Salaries","Female","Widowed","With Job/Business","Worked for private establishment","Single Family","Single house","Mixed but predominantly light materials","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"2881",131847,88115,60,6000,460,8640,12590,51,20,17,88221,20434,15038,24130,16.6666666666667,2,1,1,0,0,0,0,0,0,1,0,0,0,0,"CAR","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","between 5 and 17 years old"
